"library"	"TumorID"	"BC"	"genotype"
"P53set1"	"3627-r1"	20	"P53-/-"
"P53set1"	"3652-r2"	21	"P53-/-"
"P53set1"	"3652-l1"	22	"P53-/-"
"P53set1"	"3652-l3"	23	"P53-/-"
"P53set1"	"3966-l1"	24	"P53-/-"
"P53set1"	"3699-l4"	25	"P53-/-"
"P53set2"	"3376R2"	1	"P53-/-"
"P53set2"	"3607L5"	2	"P53-/-"
"P53set2"	"3700R1"	3	"P53-/-"
"P53set2"	"3701L4"	4	"P53-/-"
"P53set2"	"3701L1"	5	"P53-/-"
"P53set2"	"3701R1"	6	"P53-/-"
"P53set2"	"3705L4"	7	"P53-/-"
"P53set2"	"3724R4"	8	"P53-/-"
"P53set2"	"3725R4"	9	"P53-/-"
"P53set2"	"3725R5"	10	"P53-/-"
"P53set2"	"3725R1"	11	"P53-/-"
"P53set2"	"3733R4"	12	"P53-/-"
"P53set2"	"3733L4"	13	"P53-/-"
"P53set2"	"3743R1"	14	"P53-/-"
"P53set2"	"3752R1"	15	"P53-/-"
"P53set2"	"3763R2"	16	"P53-/-"
"P53set2"	"3769R1"	17	"P53-/-"
"P53set2"	"3788L5"	18	"P53-/-"
"P53set2"	"3788L1"	19	"P53-/-"
"P53set2"	"3789L1"	20	"P53-/-"
"P53set2"	"3790L4"	21	"P53-/-"
"P53set2"	"3790L5"	22	"P53-/-"
"P53set2"	"3790R5"	23	"P53-/-"
"P53set2"	"3817L2"	24	"P53-/-"
"P53set2"	"3820R1"	25	"P53-/-"
"P53set2"	"3824L2"	26	"P53-/-"
"P53set2"	"3833R1"	27	"P53-/-"
"P53set2"	"3851R3"	28	"P53-/-"
"P53set2"	"3852R2"	29	"P53-/-"
"P53set2"	"3852L5"	30	"P53-/-"
"P53set2"	"3852L4"	31	"P53-/-"
"P53set2"	"3871L2"	32	"P53-/-"
"P53set2"	"3592L5"	33	"P53-/-"
"P53set2"	"3733R1"	34	"P53-/-"
"P53set2"	"3767R2"	35	"P53-/-"
"P53set2"	"3790R2"	36	"P53-/-"
"P53set2"	"3807R4"	37	"P53-/-"
"P53set2"	"3710L5"	38	"P53-/-"
"P53set2"	"3816L1"	39	"P53-/-"
"P53set2"	"3852R2-2"	40	"P53-/-"
"Balbcset1"	7	1	"BalbcWt"
"Balbcset1"	9	2	"BalbcWt"
"Balbcset1"	10	3	"BalbcWt"
"Balbcset1"	15	4	"BalbcWt"
"Balbcset1"	19	5	"BalbcWt"
"Balbcset1"	26	6	"BalbcWt"
"Balbcset1"	35	7	"BalbcWt"
"Balbcset1"	37	8	"BalbcWt"
"Balbcset1"	41	9	"BalbcWt"
"Balbcset1"	43	10	"BalbcWt"
"Balbcset1"	51	11	"BalbcWt"
"Balbcset1"	54	12	"BalbcWt"
"Balbcset1"	60	13	"BalbcWt"
"Balbcset1"	64	14	"BalbcWt"
"Balbcset1"	70	15	"BalbcWt"
"Balbcset1"	73	16	"BalbcWt"
"Balbcset1"	76	17	"BalbcWt"
"Balbcset1"	79	18	"BalbcWt"
"Balbcset1"	82	19	"BalbcWt"
"Balbcset1"	85	20	"BalbcWt"
"Balbcset1"	88	21	"BalbcWt"
"Balbcset1"	92	22	"BalbcWt"
"Balbcset1"	95	23	"BalbcWt"
"Balbcset1"	"101/116"	24	"BalbcWt"
"Balbcset1"	104	25	"BalbcWt"
"Balbcset1"	107	26	"BalbcWt"
"Balbcset1"	112	27	"BalbcWt"
"Balbcset1"	126	28	"BalbcWt"
"Balbcset1"	129	29	"BalbcWt"
"Balbcset1"	135	30	"BalbcWt"
"Balbcset1"	130	31	"BalbcWt"
"Balbcset1"	139	32	"BalbcWt"
"Balbcset1"	142	33	"BalbcWt"
"Balbcset1"	147	34	"BalbcWt"
"Balbcset1"	151	35	"BalbcWt"
"Balbcset1"	157	36	"BalbcWt"
"Balbcset1"	160	37	"BalbcWt"
"Balbcset1"	163	38	"BalbcWt"
"Balbcset1"	166	39	"BalbcWt"
"Balbcset1"	169	40	"BalbcWt"
"Balbcset2"	175	1	"BalbcWt"
"Balbcset2"	180	2	"BalbcWt"
"Balbcset2"	183	3	"BalbcWt"
"Balbcset2"	186	4	"BalbcWt"
"Balbcset2"	189	5	"BalbcWt"
"Balbcset2"	192	6	"BalbcWt"
"Balbcset2"	195	7	"BalbcWt"
"Balbcset2"	198	8	"BalbcWt"
"Balbcset2"	201	9	"BalbcWt"
"Balbcset2"	206	10	"BalbcWt"
"Balbcset2"	212	11	"BalbcWt"
"Balbcset2"	215	12	"BalbcWt"
"Balbcset2"	222	13	"BalbcWt"
"Balbcset2"	226	14	"BalbcWt"
"Balbcset2"	228	15	"BalbcWt"
"Balbcset2"	230	16	"BalbcWt"
"Balbcset2"	232	17	"BalbcWt"
"Balbcset2"	234	18	"BalbcWt"
"Balbcset2"	239	19	"BalbcWt"
"Balbcset2"	244	20	"BalbcWt"
"Balbcset2"	246	21	"BalbcWt"
"Balbcset2"	248	22	"BalbcWt"
"Balbcset2"	250	23	"BalbcWt"
"Balbcset2"	253	24	"BalbcWt"
"Balbcset2"	256	25	"BalbcWt"
"Balbcset2"	259	26	"BalbcWt"
"Balbcset2"	264.1	27	"BalbcWt"
"Balbcset2"	264.2	28	"BalbcWt"
"Balbcset2"	267	29	"BalbcWt"
"Balbcset2"	270	30	"BalbcWt"
"Balbcset2"	273	31	"BalbcWt"
"Balbcset2"	276.1	32	"BalbcWt"
"Balbcset2"	276.2	33	"BalbcWt"
"Balbcset2"	285	34	"BalbcWt"
"Balbcset2"	288	35	"BalbcWt"
"Balbcset2"	303.1	36	"BalbcWt"
"Balbcset2"	303.2	37	"BalbcWt"
"Balbcset2"	306	38	"BalbcWt"
"Balbcset2"	309.1	39	"BalbcWt"
"Balbcset2"	309.2	40	"BalbcWt"
